"STATE","STATEABBREVIATION","STATEFP","INDICATOR","YEAR","VALUE"
"Indiana","IN","18","opioid_RxRate","2007","99.7"
"Iowa","IA","19","opioid_RxRate","2007","57.1"
"Kansas","KS","20","opioid_RxRate","2007","80.6"
"Kentucky","KY","21","opioid_RxRate","2007","130.8"
"Louisiana","LA","22","opioid_RxRate","2007","110.1"
"Maine","ME","23","opioid_RxRate","2007","85.4"
"Maryland","MD","24","opioid_RxRate","2007","63.3"
"Massachusetts","MA","25","opioid_RxRate","2007","68.2"
"Michigan","MI","26","opioid_RxRate","2007","85.6"
"Minnesota","MN","27","opioid_RxRate","2007","53.7"
"Mississippi","MS","28","opioid_RxRate","2007","109.9"
"Missouri","MO","29","opioid_RxRate","2007","84.3"
"Montana","MT","30","opioid_RxRate","2007","81.1"
"Nebraska","NE","31","opioid_RxRate","2007","65.1"
"Nevada","NV","32","opioid_RxRate","2007","90.2"
"New Hampshire","NH","33","opioid_RxRate","2007","78.5"
"New Jersey","NJ","34","opioid_RxRate","2007","57.2"
"New Mexico","NM","35","opioid_RxRate","2007","69"
"New York","NY","36","opioid_RxRate","2007","46.1"
"North Carolina","NC","37","opioid_RxRate","2007","87.5"
"North Dakota","ND","38","opioid_RxRate","2007","59.3"
"Ohio","OH","39","opioid_RxRate","2007","92.7"
"Oklahoma","OK","40","opioid_RxRate","2007","114.4"
"Oregon","OR","41","opioid_RxRate","2007","95.5"
"Pennsylvania","PA","42","opioid_RxRate","2007","73.7"
"Rhode Island","RI","44","opioid_RxRate","2007","82.2"
"South Carolina","SC","45","opioid_RxRate","2007","91.7"
"South Dakota","SD","46","opioid_RxRate","2007","49.9"
"Tennessee","TN","47","opioid_RxRate","2007","128.8"
"Texas","TX","48","opioid_RxRate","2007","71.2"
"Utah","UT","49","opioid_RxRate","2007","89.8"
"Vermont","VT","50","opioid_RxRate","2007","56"
"Virginia","VA","51","opioid_RxRate","2007","70.1"
"Washington","WA","53","opioid_RxRate","2007","84.4"
"West Virginia","WV","54","opioid_RxRate","2007","135.1"
"Wisconsin","WI","55","opioid_RxRate","2007","69.2"
"Wyoming","WY","56","opioid_RxRate","2007","80.8"
"Alabama","AL","01","opioid_RxRate","2008","126.1"
"Alaska","AK","02","opioid_RxRate","2008","68.5"
"Arizona","AZ","04","opioid_RxRate","2008","80.9"
"Arkansas","AR","05","opioid_RxRate","2008","112.1"
"California","CA","06","opioid_RxRate","2008","55.1"
"Colorado","CO","08","opioid_RxRate","2008","67.7"
"Connecticut","CT","09","opioid_RxRate","2008","68.7"
"Delaware","DE","10","opioid_RxRate","2008","95.4"
"District of Columbia","DC","11","opioid_RxRate","2008","34.5"
"Florida","FL","12","opioid_RxRate","2008","84.3"
"Georgia","GA","13","opioid_RxRate","2008","86.3"
"Hawaii","HI","15","opioid_RxRate","2008","46.6"
"Idaho","ID","16","opioid_RxRate","2008","82.7"
"Illinois","IL","17","opioid_RxRate","2008","60.2"
"Indiana","IN","18","opioid_RxRate","2008","103.3"
"Iowa","IA","19","opioid_RxRate","2008","59.1"
"Kansas","KS","20","opioid_RxRate","2008","82.7"
"Kentucky","KY","21","opioid_RxRate","2008","136.6"
"Louisiana","LA","22","opioid_RxRate","2008","113.7"
"Maine","ME","23","opioid_RxRate","2008","88.7"
"Maryland","MD","24","opioid_RxRate","2008","65.5"
"Massachusetts","MA","25","opioid_RxRate","2008","69.2"
"Michigan","MI","26","opioid_RxRate","2008","89.9"
"Minnesota","MN","27","opioid_RxRate","2008","56.5"
"Mississippi","MS","28","opioid_RxRate","2008","113.2"
"Missouri","MO","29","opioid_RxRate","2008","86.8"
"Montana","MT","30","opioid_RxRate","2008","85.3"
"Nebraska","NE","31","opioid_RxRate","2008","66.2"
"Nevada","NV","32","opioid_RxRate","2008","97"
"New Hampshire","NH","33","opioid_RxRate","2008","81.7"
"New Jersey","NJ","34","opioid_RxRate","2008","59.5"
"New Mexico","NM","35","opioid_RxRate","2008","71.4"
"New York","NY","36","opioid_RxRate","2008","48.4"
"North Carolina","NC","37","opioid_RxRate","2008","88.6"
"North Dakota","ND","38","opioid_RxRate","2008","61.7"
"Ohio","OH","39","opioid_RxRate","2008","97.5"
"Oklahoma","OK","40","opioid_RxRate","2008","111.3"
"Oregon","OR","41","opioid_RxRate","2008","99.1"
"Pennsylvania","PA","42","opioid_RxRate","2008","76.5"
"Rhode Island","RI","44","opioid_RxRate","2008","82.9"
"South Carolina","SC","45","opioid_RxRate","2008","94.1"
"South Dakota","SD","46","opioid_RxRate","2008","52.1"
"Tennessee","TN","47","opioid_RxRate","2008","132.9"
"Texas","TX","48","opioid_RxRate","2008","71.3"
"Utah","UT","49","opioid_RxRate","2008","91.3"
"Vermont","VT","50","opioid_RxRate","2008","56.5"
"Virginia","VA","51","opioid_RxRate","2008","73"
"Washington","WA","53","opioid_RxRate","2008","86.6"
"West Virginia","WV","54","opioid_RxRate","2008","145.5"
"Wisconsin","WI","55","opioid_RxRate","2008","70.6"
"Wyoming","WY","56","opioid_RxRate","2008","81"
"Alabama","AL","01","opioid_RxRate","2009","131.6"
"Alaska","AK","02","opioid_RxRate","2009","67.3"
"Arizona","AZ","04","opioid_RxRate","2009","84.2"
"Arkansas","AR","05","opioid_RxRate","2009","116"
"California","CA","06","opioid_RxRate","2009","55.6"
"Colorado","CO","08","opioid_RxRate","2009","69.8"
"Connecticut","CT","09","opioid_RxRate","2009","68.1"
"Delaware","DE","10","opioid_RxRate","2009","97.5"
"District of Columbia","DC","11","opioid_RxRate","2009","34.4"
"Florida","FL","12","opioid_RxRate","2009","86.3"
"Georgia","GA","13","opioid_RxRate","2009","88.2"
"Hawaii","HI","15","opioid_RxRate","2009","47.8"
"Idaho","ID","16","opioid_RxRate","2009","85.2"
"Illinois","IL","17","opioid_RxRate","2009","61"
"Indiana","IN","18","opioid_RxRate","2009","105.6"
"Iowa","IA","19","opioid_RxRate","2009","60.4"
"Kansas","KS","20","opioid_RxRate","2009","82.8"
"Kentucky","KY","21","opioid_RxRate","2009","135.2"
"Louisiana","LA","22","opioid_RxRate","2009","113"
"Maine","ME","23","opioid_RxRate","2009","87.9"
"Maryland","MD","24","opioid_RxRate","2009","66.9"
"Massachusetts","MA","25","opioid_RxRate","2009","68.9"
"Michigan","MI","26","opioid_RxRate","2009","91.6"
"Minnesota","MN","27","opioid_RxRate","2009","58.6"
"Mississippi","MS","28","opioid_RxRate","2009","117.3"
"Missouri","MO","29","opioid_RxRate","2009","88.5"
"Montana","MT","30","opioid_RxRate","2009","85.8"
"Nebraska","NE","31","opioid_RxRate","2009","66.4"
"Nevada","NV","32","opioid_RxRate","2009","94"
"New Hampshire","NH","33","opioid_RxRate","2009","81.5"
"New Jersey","NJ","34","opioid_RxRate","2009","59.9"
"New Mexico","NM","35","opioid_RxRate","2009","75.3"
"New York","NY","36","opioid_RxRate","2009","49.5"
"North Carolina","NC","37","opioid_RxRate","2009","89.3"
"North Dakota","ND","38","opioid_RxRate","2009","60.3"
"Ohio","OH","39","opioid_RxRate","2009","100.4"
"Oklahoma","OK","40","opioid_RxRate","2009","115"
"Oregon","OR","41","opioid_RxRate","2009","99.3"
"Pennsylvania","PA","42","opioid_RxRate","2009","78.1"
"Rhode Island","RI","44","opioid_RxRate","2009","82.5"
"South Carolina","SC","45","opioid_RxRate","2009","95.8"
"South Dakota","SD","46","opioid_RxRate","2009","52.3"
"Tennessee","TN","47","opioid_RxRate","2009","138.4"
"Texas","TX","48","opioid_RxRate","2009","71.8"
"Utah","UT","49","opioid_RxRate","2009","86.9"
"Vermont","VT","50","opioid_RxRate","2009","54.5"
"Virginia","VA","51","opioid_RxRate","2009","74.1"
"Washington","WA","53","opioid_RxRate","2009","86.1"
"West Virginia","WV","54","opioid_RxRate","2009","146.9"
"Wisconsin","WI","55","opioid_RxRate","2009","71.9"
"Wyoming","WY","56","opioid_RxRate","2009","81"
"Alabama","AL","01","opioid_RxRate","2010","134.3"
"Alaska","AK","02","opioid_RxRate","2010","68.4"
"Arizona","AZ","04","opioid_RxRate","2010","88.5"
"Arkansas","AR","05","opioid_RxRate","2010","120.8"
"California","CA","06","opioid_RxRate","2010","55.8"
"Colorado","CO","08","opioid_RxRate","2010","72"
"Connecticut","CT","09","opioid_RxRate","2010","68.6"
"Delaware","DE","10","opioid_RxRate","2010","101.1"
"District of Columbia","DC","11","opioid_RxRate","2010","37.1"
"Florida","FL","12","opioid_RxRate","2010","87.6"
"Georgia","GA","13","opioid_RxRate","2010","90.2"
"Hawaii","HI","15","opioid_RxRate","2010","50.1"
"Idaho","ID","16","opioid_RxRate","2010","88.6"
"Illinois","IL","17","opioid_RxRate","2010","63.1"
"Indiana","IN","18","opioid_RxRate","2010","107.1"
"Iowa","IA","19","opioid_RxRate","2010","62.3"
"Kansas","KS","20","opioid_RxRate","2010","86.1"
"Kentucky","KY","21","opioid_RxRate","2010","136.5"
"Louisiana","LA","22","opioid_RxRate","2010","112.6"
"Maine","ME","23","opioid_RxRate","2010","92.8"
"Maryland","MD","24","opioid_RxRate","2010","71.2"
"Massachusetts","MA","25","opioid_RxRate","2010","67.9"
"Michigan","MI","26","opioid_RxRate","2010","96"
"Minnesota","MN","27","opioid_RxRate","2010","59"
"Mississippi","MS","28","opioid_RxRate","2010","118.1"
"Missouri","MO","29","opioid_RxRate","2010","91"
"Montana","MT","30","opioid_RxRate","2010","87.2"
"Nebraska","NE","31","opioid_RxRate","2010","69"
"Nevada","NV","32","opioid_RxRate","2010","97.3"
"New Hampshire","NH","33","opioid_RxRate","2010","81.6"
"New Jersey","NJ","34","opioid_RxRate","2010","61"
"New Mexico","NM","35","opioid_RxRate","2010","81.9"
"New York","NY","36","opioid_RxRate","2010","51"
"North Carolina","NC","37","opioid_RxRate","2010","93.1"
"North Dakota","ND","38","opioid_RxRate","2010","63"
"Ohio","OH","39","opioid_RxRate","2010","102.4"
"Oklahoma","OK","40","opioid_RxRate","2010","119.6"
"Oregon","OR","41","opioid_RxRate","2010","101.2"
"Pennsylvania","PA","42","opioid_RxRate","2010","81"
"Rhode Island","RI","44","opioid_RxRate","2010","82.7"
"South Carolina","SC","45","opioid_RxRate","2010","98.6"
"South Dakota","SD","46","opioid_RxRate","2010","54"
"Tennessee","TN","47","opioid_RxRate","2010","140"
"Texas","TX","48","opioid_RxRate","2010","73"
"Utah","UT","49","opioid_RxRate","2010","86.6"
"Vermont","VT","50","opioid_RxRate","2010","54.1"
"Virginia","VA","51","opioid_RxRate","2010","75.5"
"Washington","WA","53","opioid_RxRate","2010","85"
"West Virginia","WV","54","opioid_RxRate","2010","143.1"
"Wisconsin","WI","55","opioid_RxRate","2010","74.4"
"Wyoming","WY","56","opioid_RxRate","2010","80.4"
"Alabama","AL","01","opioid_RxRate","2011","136.6"
"Alaska","AK","02","opioid_RxRate","2011","68"
"Arizona","AZ","04","opioid_RxRate","2011","88.6"
"Arkansas","AR","05","opioid_RxRate","2011","115.2"
"California","CA","06","opioid_RxRate","2011","55.9"
"Colorado","CO","08","opioid_RxRate","2011","73"
"Connecticut","CT","09","opioid_RxRate","2011","69.1"
"Delaware","DE","10","opioid_RxRate","2011","99.7"
"District of Columbia","DC","11","opioid_RxRate","2011","39.8"
"Florida","FL","12","opioid_RxRate","2011","83.5"
"Georgia","GA","13","opioid_RxRate","2011","88.6"
"Hawaii","HI","15","opioid_RxRate","2011","50.1"
"Idaho","ID","16","opioid_RxRate","2011","91.4"
"Illinois","IL","17","opioid_RxRate","2011","64.3"
"Indiana","IN","18","opioid_RxRate","2011","106.7"
"Iowa","IA","19","opioid_RxRate","2011","64"
"Kansas","KS","20","opioid_RxRate","2011","87.8"
"Kentucky","KY","21","opioid_RxRate","2011","137"
"Louisiana","LA","22","opioid_RxRate","2011","111.7"
"Maine","ME","23","opioid_RxRate","2011","93.1"
"Maryland","MD","24","opioid_RxRate","2011","72.9"
"Massachusetts","MA","25","opioid_RxRate","2011","65.9"
"Michigan","MI","26","opioid_RxRate","2011","98.8"
"Minnesota","MN","27","opioid_RxRate","2011","60"
"Mississippi","MS","28","opioid_RxRate","2011","117.2"
"Missouri","MO","29","opioid_RxRate","2011","91.6"
"Montana","MT","30","opioid_RxRate","2011","85.3"
"Nebraska","NE","31","opioid_RxRate","2011","68.8"
"Nevada","NV","32","opioid_RxRate","2011","100.3"
"New Hampshire","NH","33","opioid_RxRate","2011","80.9"
"New Jersey","NJ","34","opioid_RxRate","2011","61.5"
"New Mexico","NM","35","opioid_RxRate","2011","81.6"
"New York","NY","36","opioid_RxRate","2011","51.1"
"North Carolina","NC","37","opioid_RxRate","2011","93.5"
"North Dakota","ND","38","opioid_RxRate","2011","61.3"
"Ohio","OH","39","opioid_RxRate","2011","101.5"
"Oklahoma","OK","40","opioid_RxRate","2011","122.3"
"Oregon","OR","41","opioid_RxRate","2011","100.7"
"Pennsylvania","PA","42","opioid_RxRate","2011","81.7"
"Rhode Island","RI","44","opioid_RxRate","2011","82.5"
"South Carolina","SC","45","opioid_RxRate","2011","96.8"
"South Dakota","SD","46","opioid_RxRate","2011","55.1"
"Tennessee","TN","47","opioid_RxRate","2011","138.5"
"Texas","TX","48","opioid_RxRate","2011","72"
"Utah","UT","49","opioid_RxRate","2011","85.2"
"Vermont","VT","50","opioid_RxRate","2011","53.6"
"Virginia","VA","51","opioid_RxRate","2011","76.6"
"Washington","WA","53","opioid_RxRate","2011","81.6"
"West Virginia","WV","54","opioid_RxRate","2011","139.6"
"Wisconsin","WI","55","opioid_RxRate","2011","75.2"
"Wyoming","WY","56","opioid_RxRate","2011","78.2"
"Alabama","AL","01","opioid_RxRate","2012","143.8"
"Alaska","AK","02","opioid_RxRate","2012","66.8"
"Arizona","AZ","04","opioid_RxRate","2012","85.3"
"Arkansas","AR","05","opioid_RxRate","2012","121.8"
"California","CA","06","opioid_RxRate","2012","56.4"
"Colorado","CO","08","opioid_RxRate","2012","73.5"
"Connecticut","CT","09","opioid_RxRate","2012","69.3"
"Delaware","DE","10","opioid_RxRate","2012","94"
"District of Columbia","DC","11","opioid_RxRate","2012","40.3"
"Florida","FL","12","opioid_RxRate","2012","75.9"
"Georgia","GA","13","opioid_RxRate","2012","89.4"
"Hawaii","HI","15","opioid_RxRate","2012","50.4"
"Idaho","ID","16","opioid_RxRate","2012","92"
"Illinois","IL","17","opioid_RxRate","2012","66.1"
"Indiana","IN","18","opioid_RxRate","2012","110.5"
"Iowa","IA","19","opioid_RxRate","2012","74.1"
"Kansas","KS","20","opioid_RxRate","2012","90.3"
"Kentucky","KY","21","opioid_RxRate","2012","127.9"
"Louisiana","LA","22","opioid_RxRate","2012","113"
"Maine","ME","23","opioid_RxRate","2012","89.7"
"Maryland","MD","24","opioid_RxRate","2012","72.2"
"Massachusetts","MA","25","opioid_RxRate","2012","65.7"
"Michigan","MI","26","opioid_RxRate","2012","100.7"
"Minnesota","MN","27","opioid_RxRate","2012","60.9"
"Mississippi","MS","28","opioid_RxRate","2012","121.8"
"Missouri","MO","29","opioid_RxRate","2012","95.4"
"Montana","MT","30","opioid_RxRate","2012","87.7"
"Nebraska","NE","31","opioid_RxRate","2012","73.2"
"Nevada","NV","32","opioid_RxRate","2012","98.9"
"New Hampshire","NH","33","opioid_RxRate","2012","83.7"
"New Jersey","NJ","34","opioid_RxRate","2012","60.1"
"New Mexico","NM","35","opioid_RxRate","2012","76.8"
"New York","NY","36","opioid_RxRate","2012","51.8"
"North Carolina","NC","37","opioid_RxRate","2012","98.6"
"North Dakota","ND","38","opioid_RxRate","2012","62.1"
"Ohio","OH","39","opioid_RxRate","2012","97.5"
"Oklahoma","OK","40","opioid_RxRate","2012","127.4"
"Oregon","OR","41","opioid_RxRate","2012","98.7"
"Pennsylvania","PA","42","opioid_RxRate","2012","83.3"
"Rhode Island","RI","44","opioid_RxRate","2012","83.2"
"South Carolina","SC","45","opioid_RxRate","2012","104"
"South Dakota","SD","46","opioid_RxRate","2012","60.1"
"Tennessee","TN","47","opioid_RxRate","2012","136.1"
"Texas","TX","48","opioid_RxRate","2012","73.4"
"Utah","UT","49","opioid_RxRate","2012","84.5"
"Vermont","VT","50","opioid_RxRate","2012","54.6"
"Virginia","VA","51","opioid_RxRate","2012","79.6"
"Washington","WA","53","opioid_RxRate","2012","78.7"
"West Virginia","WV","54","opioid_RxRate","2012","136.9"
"Wisconsin","WI","55","opioid_RxRate","2012","76.8"
"Wyoming","WY","56","opioid_RxRate","2012","80.5"
"Alabama","AL","01","opioid_RxRate","2013","142.4"
"Alaska","AK","02","opioid_RxRate","2013","63.7"
"Arizona","AZ","04","opioid_RxRate","2013","80.4"
"Arkansas","AR","05","opioid_RxRate","2013","120.9"
"California","CA","06","opioid_RxRate","2013","54.4"
"Colorado","CO","08","opioid_RxRate","2013","71.2"
"Connecticut","CT","09","opioid_RxRate","2013","67.4"
"Delaware","DE","10","opioid_RxRate","2013","92.7"
"District of Columbia","DC","11","opioid_RxRate","2013","41.1"
"Florida","FL","12","opioid_RxRate","2013","73.5"
"Georgia","GA","13","opioid_RxRate","2013","86.6"
"Hawaii","HI","15","opioid_RxRate","2013","49.4"
"Idaho","ID","16","opioid_RxRate","2013","89.2"
"Illinois","IL","17","opioid_RxRate","2013","63.7"
"Indiana","IN","18","opioid_RxRate","2013","106.3"
"Iowa","IA","19","opioid_RxRate","2013","72.2"
"Kansas","KS","20","opioid_RxRate","2013","88.7"
"Kentucky","KY","21","opioid_RxRate","2013","111.7"
"Louisiana","LA","22","opioid_RxRate","2013","112.4"
"Maine","ME","23","opioid_RxRate","2013","85.9"
"Maryland","MD","24","opioid_RxRate","2013","69"
"Massachusetts","MA","25","opioid_RxRate","2013","63"
"Michigan","MI","26","opioid_RxRate","2013","98.9"
"Minnesota","MN","27","opioid_RxRate","2013","58.3"
"Mississippi","MS","28","opioid_RxRate","2013","119.6"
"Missouri","MO","29","opioid_RxRate","2013","93.3"
"Montana","MT","30","opioid_RxRate","2013","84.2"
"Nebraska","NE","31","opioid_RxRate","2013","71.3"
"Nevada","NV","32","opioid_RxRate","2013","91.1"
"New Hampshire","NH","33","opioid_RxRate","2013","82"
"New Jersey","NJ","34","opioid_RxRate","2013","58.3"
"New Mexico","NM","35","opioid_RxRate","2013","71.4"
"New York","NY","36","opioid_RxRate","2013","46.7"
"North Carolina","NC","37","opioid_RxRate","2013","96.7"
"North Dakota","ND","38","opioid_RxRate","2013","60.1"
"Ohio","OH","39","opioid_RxRate","2013","93.1"
"Oklahoma","OK","40","opioid_RxRate","2013","123.3"
"Oregon","OR","41","opioid_RxRate","2013","94.2"
"Pennsylvania","PA","42","opioid_RxRate","2013","81.6"
"Rhode Island","RI","44","opioid_RxRate","2013","76.9"
"South Carolina","SC","45","opioid_RxRate","2013","103"
"South Dakota","SD","46","opioid_RxRate","2013","60.6"
"Tennessee","TN","47","opioid_RxRate","2013","127.1"
"Texas","TX","48","opioid_RxRate","2013","70"
"Utah","UT","49","opioid_RxRate","2013","82.1"
"Vermont","VT","50","opioid_RxRate","2013","52.2"
"Virginia","VA","51","opioid_RxRate","2013","76.6"
"Washington","WA","53","opioid_RxRate","2013","75.2"
"West Virginia","WV","54","opioid_RxRate","2013","129"
"Wisconsin","WI","55","opioid_RxRate","2013","73.8"
"Wyoming","WY","56","opioid_RxRate","2013","81.5"
"Alabama","AL","01","opioid_RxRate","2014","135.2"
"Alaska","AK","02","opioid_RxRate","2014","62.7"
"Arizona","AZ","04","opioid_RxRate","2014","79.7"
"Arkansas","AR","05","opioid_RxRate","2014","123.2"
"California","CA","06","opioid_RxRate","2014","52.7"
"Colorado","CO","08","opioid_RxRate","2014","69.6"
"Connecticut","CT","09","opioid_RxRate","2014","66"
"Delaware","DE","10","opioid_RxRate","2014","91"
"District of Columbia","DC","11","opioid_RxRate","2014","40.1"
"Florida","FL","12","opioid_RxRate","2014","71.4"
"Georgia","GA","13","opioid_RxRate","2014","83.8"
"Hawaii","HI","15","opioid_RxRate","2014","47.7"
"Idaho","ID","16","opioid_RxRate","2014","87.4"
"Illinois","IL","17","opioid_RxRate","2014","62.3"
"Indiana","IN","18","opioid_RxRate","2014","96.7"
"Iowa","IA","19","opioid_RxRate","2014","72.3"
"Kansas","KS","20","opioid_RxRate","2014","86.5"
"Kentucky","KY","21","opioid_RxRate","2014","110"
"Louisiana","LA","22","opioid_RxRate","2014","108.9"
"Maine","ME","23","opioid_RxRate","2014","82.4"
"Maryland","MD","24","opioid_RxRate","2014","67.6"
"Massachusetts","MA","25","opioid_RxRate","2014","59.6"
"Michigan","MI","26","opioid_RxRate","2014","98"
"Minnesota","MN","27","opioid_RxRate","2014","56.6"
"Mississippi","MS","28","opioid_RxRate","2014","116.3"
"Missouri","MO","29","opioid_RxRate","2014","90.7"
"Montana","MT","30","opioid_RxRate","2014","80.1"
"Nebraska","NE","31","opioid_RxRate","2014","70.1"
"Nevada","NV","32","opioid_RxRate","2014","90.1"
"New Hampshire","NH","33","opioid_RxRate","2014","79.6"
"New Jersey","NJ","34","opioid_RxRate","2014","57.2"
"New Mexico","NM","35","opioid_RxRate","2014","71.5"
"New York","NY","36","opioid_RxRate","2014","43.9"
"North Carolina","NC","37","opioid_RxRate","2014","93.7"
"North Dakota","ND","38","opioid_RxRate","2014","58.1"
"Ohio","OH","39","opioid_RxRate","2014","89.5"
"Oklahoma","OK","40","opioid_RxRate","2014","110.9"
"Oregon","OR","41","opioid_RxRate","2014","91.9"
"Pennsylvania","PA","42","opioid_RxRate","2014","79.9"
"Rhode Island","RI","44","opioid_RxRate","2014","72.8"
"South Carolina","SC","45","opioid_RxRate","2014","101.3"
"South Dakota","SD","46","opioid_RxRate","2014","61.7"
"Tennessee","TN","47","opioid_RxRate","2014","121.3"
"Texas","TX","48","opioid_RxRate","2014","67"
"Utah","UT","49","opioid_RxRate","2014","78.8"
"Vermont","VT","50","opioid_RxRate","2014","50.4"
"Virginia","VA","51","opioid_RxRate","2014","73.5"
"Washington","WA","53","opioid_RxRate","2014","74.2"
"West Virginia","WV","54","opioid_RxRate","2014","126.4"
"Wisconsin","WI","55","opioid_RxRate","2014","71.9"
"Wyoming","WY","56","opioid_RxRate","2014","80.9"
"Alabama","AL","01","opioid_RxRate","2015","125"
"Alaska","AK","02","opioid_RxRate","2015","60.8"
"Arizona","AZ","04","opioid_RxRate","2015","75.5"
"Arkansas","AR","05","opioid_RxRate","2015","117.2"
"California","CA","06","opioid_RxRate","2015","47.7"
"Colorado","CO","08","opioid_RxRate","2015","65.1"
"Connecticut","CT","09","opioid_RxRate","2015","62.3"
"Delaware","DE","10","opioid_RxRate","2015","84.4"
"District of Columbia","DC","11","opioid_RxRate","2015","35.7"
"Florida","FL","12","opioid_RxRate","2015","67.1"
"Georgia","GA","13","opioid_RxRate","2015","79.4"
"Hawaii","HI","15","opioid_RxRate","2015","44.3"
"Idaho","ID","16","opioid_RxRate","2015","81.9"
"Illinois","IL","17","opioid_RxRate","2015","59.1"
"Indiana","IN","18","opioid_RxRate","2015","89.1"
"Iowa","IA","19","opioid_RxRate","2015","68.6"
"Kansas","KS","20","opioid_RxRate","2015","80.5"
"Kentucky","KY","21","opioid_RxRate","2015","102.6"
"Louisiana","LA","22","opioid_RxRate","2015","100.4"
"Maine","ME","23","opioid_RxRate","2015","76.5"
"Maryland","MD","24","opioid_RxRate","2015","63"
"Massachusetts","MA","25","opioid_RxRate","2015","54"
"Michigan","MI","26","opioid_RxRate","2015","90.5"
